25160,26103,23933,22239,21117,20439,19940,19559,19291,19032,18656,17970,16789,15386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24867,23531,22533,21866,21590,21517,21439,21151,20591,19844,18868,17738,16668,15718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26321,25384,24437,23593,22768,22024,21323,20698,20141,19543,18908,18282,17605,16946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26160,25316,24598,23831,23068,22289,21478,20737,20008,19393,18747,18097,17561,16953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26205,25291,24492,23695,22917,22209,21539,20746,20059,19394,18782,18175,17595,16950,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26261,25399,24536,23742,22930,22135,21353,20695,20070,19445,18848,18238,17590,16959,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26073,25259,24461,23722,22901,22088,21376,20633,19922,19285,18713,18096,17540,16993,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26159,25269,24411,23596,22881,22094,21387,20761,20098,19428,18816,18188,17514,16919,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26357,25374,24541,23674,22912,22204,21452,20742,20066,19417,18729,18093,17471,16846,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26153,25290,24486,23702,22971,22173,21415,20696,20032,19346,18724,18090,17436,16802,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26253,25381,24528,23773,22939,22160,21391,20737,20052,19367,18776,18186,17581,16968,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25924,25051,24248,23557,22808,22156,21401,20743,20093,19441,18786,18138,17554,16976,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26060,25282,24452,23606,22835,22088,21362,20713,19992,19347,18757,18098,17504,16881,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26456,25521,24639,23866,23028,22265,21514,20791,20088,19437,18788,18139,17458,16825,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26333,25494,24678,23814,23009,22185,21449,20743,20066,19402,18780,18148,17564,16972,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26131,25298,24478,23731,22948,22200,21488,20828,20112,19375,18707,18108,17495,16959,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26165,25247,24373,23530,22846,22144,21479,20794,20109,19481,18843,18209,17569,16924,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26253,25402,24548,23760,22938,22133,21417,20663,19983,19299,18655,18043,17435,16902,79,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26223,25299,24437,23622,22853,22135,21408,20706,20026,19360,18741,18111,17497,16876,84,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26113,25333,24538,23779,22996,22175,21424,20718,20036,19379,18776,18127,17486,16965,81,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26188,25287,24486,23669,22897,22143,21483,20724,20044,19325,18668,18032,17375,16760,84,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26104,25237,24397,23652,22851,22138,21437,20783,20142,19490,18861,18223,17577,16979,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26295,25380,24540,23753,22988,22203,21494,20781,20097,19480,18785,18109,17495,16882,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26256,25361,24521,23741,22952,22193,21406,20687,19997,19344,18751,18160,17556,16897,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26104,25264,24446,23679,22931,22144,21447,20766,20113,19451,18791,18161,17570,16908,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26410,25479,24601,23738,22937,22176,21453,20746,20107,19422,18817,18204,17544,16894,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26039,25211,24423,23630,22909,22201,21531,20794,20054,19357,18731,18056,17438,16852,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26181,25265,24393,23604,22814,22086,21360,20714,20033,19370,18727,18136,17519,16866,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26189,25289,24445,23714,22932,22132,21391,20654,19955,19292,18625,18047,17430,16794,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26048,25245,24459,23643,22840,22114,21425,20632,19947,19276,18662,18045,17456,16869,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26123,25228,24345,23580,22835,22097,21483,20801,20160,19485,18852,18176,17522,16825,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26293,25425,24577,23727,22945,22159,21385,20693,19999,19284,18624,18043,17447,16843,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26114,25213,24402,23641,22849,22048,21320,20701,20072,19448,18792,18149,17519,16902,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26100,25261,24493,23729,22968,22242,21495,20761,20006,19330,18683,18028,17422,16834,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26184,25309,24465,23694,22892,22134,21412,20700,20099,19441,18752,18164,17558,16964,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26255,25380,24532,23708,22946,22198,21501,20805,20098,19406,18777,18154,17536,16946,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26106,25257,24419,23606,22825,22053,21327,20666,19973,19327,18749,18162,17542,16958,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26204,25359,24532,23658,22887,22167,21441,20769,20063,19348,18689,18063,17569,16970,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26172,25303,24458,23646,22906,22147,21454,20804,20126,19461,18851,18181,17506,16871,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26237,25320,24489,23730,22936,22170,21420,20666,19967,19361,18770,18142,17557,16955,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26163,25364,24545,23770,23036,22263,21452,20723,19987,19312,18667,18047,17461,16904,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26055,25252,24424,23623,22863,22087,21379,20678,20024,19334,18714,18071,17474,16854,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26172,25302,24441,23702,22868,22169,21418,20691,19993,19382,18726,18096,17475,16888,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26166,25273,24430,23632,22897,22140,21443,20750,20048,19370,18682,18065,17477,16885,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26215,25348,24454,23705,22938,22155,21403,20685,20051,19402,18794,18112,17502,16885,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26132,25296,24491,23702,23009,22253,21517,20737,20031,19344,18687,18133,17567,16983,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26070,25140,24318,23604,22831,22175,21509,20856,20162,19448,18795,18169,17501,16894,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26163,25272,24403,23610,22848,22117,21394,20696,20080,19443,18832,18250,17645,17033,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26152,25330,24501,23747,22976,22225,21461,20768,20066,19406,18766,18137,17508,16911,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26240,25292,24464,23717,22952,22216,21477,20717,20059,19411,18765,18161,17551,16891,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26169,25325,24461,23709,22923,22176,21421,20735,20084,19437,18729,18037,17415,16802,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26176,25378,24593,23724,22940,22215,21442,20752,20061,19392,18766,18164,17558,16967,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26137,25275,24444,23697,22924,22175,21404,20660,20002,19294,18650,18037,17455,16844,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26271,25390,24531,23758,22949,22229,21566,20823,20078,19404,18713,18095,17415,16873,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26220,25319,24464,23643,22853,22112,21393,20688,20053,19354,18745,18143,17565,16961,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26249,25361,24561,23776,22987,22225,21516,20771,20043,19449,18841,18169,17582,17009,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26164,25302,24460,23721,22984,22283,21493,20804,20106,19396,18733,18068,17447,16867,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
