3.052e+03,2.974e+03,3.000e-04,1.680e+02,8.100e+01,1.784e+00,1.564e+01,9.531e+00,-1.276e+00,1.661e+00,7.869e+00
3.074e+03,2.979e+03,3.000e-04,1.820e+02,9.200e+01,1.788e+00,1.777e+01,1.682e+01,-1.751e-01,6.371e+00,1.045e+01
3.136e+03,2.997e+03,3.000e-04,1.540e+02,7.100e+01,1.798e+00,1.371e+01,8.618e+00,-1.205e+00,2.755e+00,5.863e+00
3.117e+03,3.011e+03,3.000e-04,1.630e+02,7.800e+01,1.807e+00,1.507e+01,8.811e+00,-1.353e+00,1.513e+00,7.298e+00
2.970e+03,3.005e+03,3.000e-04,1.520e+02,7.900e+01,1.803e+00,1.526e+01,1.243e+01,-6.042e-01,4.195e+00,8.236e+00
2.974e+03,3.014e+03,3.000e-04,1.540e+02,7.800e+01,1.808e+00,1.507e+01,7.173e+00,-1.707e+00,1.433e+00,5.741e+00
3.061e+03,3.016e+03,3.000e-04,1.610e+02,7.600e+01,1.810e+00,1.468e+01,7.515e+00,-1.588e+00,1.597e+00,5.918e+00
2.747e+03,3.013e+03,3.000e-04,1.670e+02,7.700e+01,1.808e+00,1.487e+01,9.226e+00,-1.236e+00,2.168e+00,7.059e+00
2.719e+03,3.017e+03,3.000e-04,1.730e+02,8.600e+01,1.810e+00,1.661e+01,1.402e+01,-5.104e-01,4.909e+00,9.111e+00
3.090e+03,3.019e+03,3.000e-04,1.560e+02,8.400e+01,1.812e+00,1.622e+01,1.766e+01,2.887e-01,6.464e+00,1.119e+01
3.129e+03,3.019e+03,3.000e-04,1.680e+02,8.500e+01,1.811e+00,1.642e+01,1.864e+01,4.430e-01,9.238e+00,9.404e+00
2.850e+03,3.012e+03,3.000e-04,1.650e+02,9.900e+01,1.807e+00,1.912e+01,2.073e+01,2.775e-01,8.660e+00,1.207e+01
3.077e+03,3.020e+03,3.000e-04,1.830e+02,1.060e+02,1.812e+00,2.047e+01,1.701e+01,-5.575e-01,4.825e+00,1.219e+01
2.998e+03,3.020e+03,3.000e-04,1.490e+02,6.700e+01,1.812e+00,1.294e+01,4.853e+00,-2.021e+00,8.440e-01,4.009e+00
2.771e+03,3.026e+03,3.000e-04,1.520e+02,7.500e+01,1.815e+00,1.449e+01,9.114e+00,-1.206e+00,3.654e+00,5.459e+00
3.213e+03,3.041e+03,3.000e-04,1.530e+02,6.500e+01,1.824e+00,1.255e+01,7.603e+00,-1.273e+00,1.528e+00,6.075e+00
3.151e+03,3.038e+03,3.000e-04,1.460e+02,7.300e+01,1.823e+00,1.410e+01,1.048e+01,-8.341e-01,3.218e+00,7.261e+00
2.922e+03,3.046e+03,3.000e-04,1.560e+02,7.500e+01,1.827e+00,1.449e+01,1.198e+01,-5.617e-01,4.703e+00,7.282e+00
2.805e+03,3.050e+03,3.000e-04,1.590e+02,7.800e+01,1.830e+00,1.507e+01,1.086e+01,-9.086e-01,2.772e+00,8.093e+00
3.158e+03,3.053e+03,3.000e-04,1.580e+02,7.900e+01,1.832e+00,1.526e+01,7.506e+00,-1.656e+00,1.261e+00,6.245e+00
